problem_id,nav_title,nav_problem_type,ftext_section,ftext_problem_number,ftext_problem_title,match_level,base_url,target_method,direct_url,browser_verified,notes
M1-QF-001,関数への文字式の代入,関数記法f(x)へのブロック代入,,,,NONE,,none,,n/a,f(a+1)のような代入記法の練習に特化した独立問題がFTEXT内に見当たらない
M1-QF-002,二次関数の基本グラフ,y=ax^2の基本グラフの概形,数学I/関数と方程式・不等式/2次関数とそのグラフ,,,NONE,,none,,n/a,y=ax^2の性質は理論説明のみで独立した練習問題として存在しない
M1-QF-003,定義域・値域,1次関数の定義域付き値域と最大最小,数学I/関数と方程式・不等式/1次関数とそのグラフ,,,NONE,,none,,n/a,FTEXTの1次関数章に定義域制限からの値域・最大最小を問う問題が見当たらない
M1-QF-004,2点から1次関数を決定,2点の座標から1次関数の式を決定,数学I/関数と方程式・不等式/1次関数とそのグラフ,prob-s60-4,直線の通る2点が与えられた場合,EXACT,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/02-1%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/02-1%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95#prob-s60-4,not_individually_verified(mechanism confirmed via 11-case sample),2点から1次関数を決定する手順が同一。数値のみ相違
M1-QF-005,定義域・値域から1次関数を決定,値域条件から1次関数の係数a・bを逆算,数学I/関数と方程式・不等式/1次関数とそのグラフ,,,NONE,,none,,n/a,値域条件からの逆算という構成のFTEXT問題が見当たらない
M1-QF-006,頂点形式からグラフ・軸・頂点,既に頂点形式の2次関数からグラフ・軸・頂点を読む,数学I/関数と方程式・不等式/2次関数とそのグラフ,prob-s63-1,放物線を描く～その1～,EXACT,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95#prob-s63-1,verified_pc_2026-09-13,頂点形式y=a(x-p)^2+qから軸・頂点を読む練習として構造が同一
M1-QF-007,基本的な平方完成からグラフ・軸・頂点,x^2の係数1の平方完成から軸・頂点,数学I/関数と方程式・不等式/2次関数とそのグラフ,prob-s63-2,放物線を描く～その２～,EXACT,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95#prob-s63-2,not_individually_verified(mechanism confirmed via 11-case sample),同問題の(1)がx^2係数1の平方完成、解法骨格が完全一致
M1-QF-008,係数を処理して平方完成し、グラフ・軸・頂点,x^2の係数が1でない場合の平方完成から軸・頂点,数学I/関数と方程式・不等式/2次関数とそのグラフ,prob-s63-2,放物線を描く～その２～,EXACT,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95#prob-s63-2,not_individually_verified(mechanism confirmed via 11-case sample),同問題の(3)(4)が係数を処理する平方完成で、解法骨格が一致
M1-QF-009,2つの放物線の平行移動関係,2つの具体的放物線から平行移動量を逆算,数学I/関数と方程式・不等式/2次関数とそのグラフ,prob-s63-1,放物線を描く～その1～,CLOSE,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95#prob-s63-1,not_individually_verified(mechanism confirmed via 11-case sample),与えられた式から平行移動量を読み取る向きは同じだが、ナビ側は両辺とも平方完成が必要でやや高度
M1-QF-010,指定された平行移動後の方程式,平行移動量が指定された放物線の新しい方程式,数学I/関数と方程式・不等式/2次関数とそのグラフ,prob-s63-4,2次関数グラフの平行移動～その2～,EXACT,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95#prob-s63-4,not_individually_verified(mechanism confirmed via 11-case sample),x軸方向・y軸方向の平行移動量が与えられ新方程式を求める構成が完全一致
M1-QF-011,放物線の対称移動,x軸・y軸・原点に関する対称移動後の方程式,数学I/関数と方程式・不等式/2次関数とそのグラフ,prob-s63-6,2次関数グラフの対称移動～その2～,EXACT,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95#prob-s63-6,not_individually_verified(mechanism confirmed via 11-case sample),x軸・y軸・原点の3種の対称移動を1問で問う構成が完全一致
M1-QF-012,平行移動・対称移動から元の放物線を求める,平行移動＋対称移動の結果から元の式を逆算,数学I/関数と方程式・不等式/2次関数とそのグラフ,,,BROAD,,none,,n/a,平行移動と対称移動を個別に順方向で問う問題はあるが、両者を組み合わせて逆算させる問題はFTEXTに見当たらない
M1-QF-013,定義域なしの最大・最小,定義域制限なしの2次関数の最大値・最小値,数学I/関数と方程式・不等式/2次関数とそのグラフ,prob-s63-9,2次関数の最大・最小～その1～,CLOSE,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95,native_anchor,https://ftext.org/mathI/02-%E9%96%A2%E6%95%B0%E3%81%A8%E6%96%B9%E7%A8%8B%E5%BC%8F%E3%83%BB%E4%B8%8D%E7%AD%89%E5%BC%8F/05-2%E6%AC%A1%E9%96%A2%E6%95%B0%E3%81%A8%E3%81%9D%E3%81%AE%E3%82%B0%E3%83%A9%E3%83%95#prob-s63-9,not_individually_verified(mechanism confirmed via 11-case sample),頂点位置から最大最小を読む基礎技能は共通だが、この問題はすべて閉区間付きで定義域なしのケースは含まれない
